Date,Recorded at,Scheduled for,Amount,Activity,Pending,Raw description,Description,Category folder,Category,Street address,City,State,Zip,Latitude,Longitude,Memo
2015/07/28,2015-07-27 07:32:08 PM -0700,,-3.99,Signature purchase,false,PETTYJOHNS LIQUOR & WI,Pettyjohns Liquor & Win,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/07/29,2015-07-28 07:00:27 PM -0700,,-3.00,Signature purchase,false,PETTYJOHNS LIQUOR & WI,Pettyjohns Liquor & Win,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/07/28,2015-07-28 11:39:19 AM -0700,,-14.68,Signature purchase,false,MCDONALD'S F109,Mcdonald's,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/07/29,2015-07-29 03:47:37 PM -0700,,-3.00,Signature purchase,false,PETTYJOHNS LIQUOR & WI,Pettyjohns Liquor & Win,Food & Drink,Alcohol & Bars,,Boulder,CO,,40.03402,-105.30482,
2015/07/29,2015-07-29 09:00:55 AM -0700,,-55.00,C2c,false,Instant Transfer,Lover,Financial,Money Transfer,,,,,,,
2015/08/02,2015-08-01 07:02:04 PM -0700,,-3.25,Signature purchase,false,MICROSOFT   *,Microsoft,Utilities,Phone,,866Msbill1,WA,,,,
2015/08/07,2015-08-07 03:41:54 AM -0700,,420.00,ACH,false,LIVINGSOCIAL,Livingsocial,Income,Other,,,,,,,
2015/08/08,2015-08-07 05:39:36 PM -0700,,-43.97,Signature purchase,false,PEI WEI #0104      Q02,Pei Wei Asian Diner,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/08/08,2015-08-07 06:29:49 PM -0700,,-8.13,Signature purchase,false,MCDONALD'S F109,Mcdonald's,Food & Drink,Fast Food,,Boulder,CO,,40.03402,-105.30482,
2015/08/08,2015-08-07 07:29:11 PM -0700,,-5.44,Pin purchase,false,KING SOOPERS,King Soopers,Food & Drink,Groceries,,Boulder,CO,,40.03402,-105.30482,
2015/08/07,2015-08-07 10:56:25 AM -0700,,-41.00,Pin purchase,false,1535 Pearl St,Bell ATM Assoc ATM,Uncategorized,Cash,,Boulder,CO,,40.03402,-105.30482,
2015/08/08,2015-08-08 04:55:35 PM -0700,,-54.37,Signature purchase,false,UBON THAI CUISINE INC,Ubon Thai Cuisine,Food & Drink,Restaurants,,Nederland,CO,,39.96138,-105.51083,
2015/08/09,2015-08-09 04:21:23 PM -0700,,-100.00,Pin purchase,false,COSTCO WHSE #0480,Costco Whse,Uncategorized,Other Shopping,,Superior,CO,,39.93119,-105.15909,
2015/08/11,2015-08-11 02:53:38 PM -0700,,-26.55,Signature purchase,false,RUNNING WITH CRAYO,Running With Crayo,Technology,Hardware,,Cambridge,GB,,,,
2015/08/12,2015-08-11 07:28:55 PM -0700,,-77.62,Signature purchase,false,OSKAR BLUES,Oskar Blues,Food & Drink,Restaurants,,Longmont,CO,,40.12752,-105.23772,
2015/08/13,2015-08-12 06:45:09 PM -0700,,-5.43,Signature purchase,false,MICROSOFT   *,Microsoft,Utilities,Phone,,866Msbill1,WA,,,,
